Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6233740,"Die Diebin (Die Tochter des Magiers, #1)",Torsten Fink,"Fink, Torsten",,"=""3442266319""","=""9783442266319""",5,3.34,Blanvalet,Paperback,414,2009,2009,,2021/08/29,,,read,,,,1,0
18113398,"Der Prinz der Skorpione (Der Prinz der Skorpione, #3)",Torsten Fink,"Fink, Torsten",,"=""3442268583""","=""9783442268580""",4,3.75,Blanvalet,Paperback,480,2013,2013,,2021/08/29,,,read,,,,1,0
15847352,"Der Prinz der Klingen (Der Prinz der Skorpione, #2)",Torsten Fink,"Fink, Torsten",,"=""3442268575""","=""9783442268573""",4,3.71,Blanvalet Taschenbuch Verlag,Paperback,736,2012,2012,,2021/08/29,,,read,,,,1,0
13611283,"Der Prinz der Schatten (Der Prinz der Skorpione, #1)",Torsten Fink,"Fink, Torsten",,"=""3442268567""","=""9783442268566""",4,3.53,Blanvalet,Paperback,540,2012,2012,,2021/08/29,,,read,,,,1,0
16096968,"The Core (The Demon Cycle, #5)",Peter V. Brett,"Brett, Peter V.",,"=""0345531507""","=""9780345531506""",5,4.17,Del Rey,Hardcover,781,2017,2017,,2021/08/29,,,read,,,,1,0
13630171,"The Skull Throne (Demon Cycle, #4)",Peter V. Brett,"Brett, Peter V.",,"=""0345531485""","=""9780345531483""",5,4.13,Del Rey,Hardcover,681,2015,2015,,2021/08/29,,,read,,,,1,0
9268487,"The Daylight War (Demon Cycle, #3)",Peter V. Brett,"Brett, Peter V.",,"=""0345503821""","=""9780345503824""",5,4.20,Random House Del Ray,Hardcover,639,2013,2013,,2021/08/29,,,read,,,,1,0
6736971,"The Desert Spear (Demon Cycle, #2)",Peter V. Brett,"Brett, Peter V.",,"=""0345503813""","=""9780345503817""",5,4.21,Del Rey,Hardcover,579,2010,2010,,2021/08/29,,,read,,,,1,0
3428935,"The Warded Man (The Demon Cycle, #1)",Peter V. Brett,"Brett, Peter V.",,"=""0345503805""","=""9780345503800""",5,4.25,Random House,Hardcover,416,2009,2008,,2021/08/29,,,read,,,,1,0
49021976,"Rhythm of War (The Stormlight Archive, #4)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326388""","=""9780765326386""",5,4.58,Tor Books,Hardcover,1232,2020,2020,,2021/08/29,,,read,,,,1,0
34002132,"Oathbringer (The Stormlight Archive, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.61,Tor Books,Hardcover,1248,2017,2017,,2021/08/29,,,read,,,,1,0
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326353""","=""9780765326355""",5,4.66,Tor Books,Hardcover,1007,2010,2010,,2021/08/29,,,read,,,,1,0
2767793,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765316897""","=""9780765316899""",4,4.56,Tor Books,Hardcover,572,2008,2008,,2021/08/29,,,read,,,,1,0
68429,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765316889""","=""9780765316882""",4,4.38,Tor Books,Hardcover,590,2007,2007,,2021/08/29,,,read,,,,1,0
3754026,"Beyond the Shadows (Night Angel, #3)",Brent Weeks,"Weeks, Brent",,"=""0316033669""","=""9780316033664""",5,4.27,Orbit,Mass Market Paperback,689,2008,2008,,2021/08/29,,,read,,,,1,0
3754016,"Shadow's Edge (Night Angel, #2)",Brent Weeks,"Weeks, Brent",,"=""0316033650""","=""9780316033657""",5,4.25,Orbit,Mass Market Paperback,636,2008,2008,,2021/08/29,,,read,,,,1,0
3227063,"The Way of Shadows (Night Angel, #1)",Brent Weeks,"Weeks, Brent",,"=""0316033677""","=""9780316033671""",5,4.15,Orbit,Mass Market Paperback,645,2008,2008,,2021/08/29,,,read,,,,1,0
30169100,"The Burning White (Lightbringer, #5)",Brent Weeks,"Weeks, Brent",,"=""0316251305""","=""9780316251303""",5,4.26,Orbit,Hardcover,960,2019,2019,,2021/08/29,,,read,,,,1,0
29467232,"The Blood Mirror (Lightbringer, #4)",Brent Weeks,"Weeks, Brent",,"=""031625133X""","=""9780316251334""",5,4.32,Orbit,Hardcover,704,2016,2015,,2021/08/29,,,read,,,,1,0
12652457,"The Broken Eye (Lightbringer, #3)",Brent Weeks,"Weeks, Brent",,"=""0316235555""","=""9780316235556""",5,4.45,Orbit,Kindle Edition,688,2014,2014,,2021/08/29,,,read,,,,1,0
12499290,"The Blinding Knife (Lightbringer, #2)",Brent Weeks,"Weeks, Brent",,"=""031607991X""","=""9780316079914""",5,4.41,Orbit,Hardcover,671,2012,2012,,2021/08/29,,,read,,,,1,0
