Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
7165300,"The Black Prism (Lightbringer, #1)",Brent Weeks,"Weeks, Brent",,"=""0316075558""","=""9780316075558""",5,4.23,Orbit,Hardcover,629,2010,2010,,2021/08/29,,,read,,,,1,0
1780947,Das Café am Rande der Welt,John P. Strelecky,"Strelecky, John P.",Bettina Lemke,"=""3423209690""","=""9783423209694""",5,3.52,dtv,Paperback,128,2007,2003,,2021/08/29,,,read,,,,1,0
24787429,Der Augenjäger (Der Augensammler #2),Sebastian Fitzek,"Fitzek, Sebastian",,"=""3426503735""","=""9783426503737""",4,4.18,Knaur,Paperback,432,2012,2011,,2021/08/29,,,read,,,,1,0
32981674,Becks letzter Sommer,Benedict Wells,"Wells, Benedict",,"=""3257240228""","=""9783257240221""",3,3.71,Diogenes,Paperback,458,2009,2008,,2021/08/29,,,read,,,,1,0
23079,Der Name der Rose,Umberto Eco,"Eco, Umberto",Burkhart Kroeber,"=""""","=""""",5,4.14,Deutscher Taschenbuch Verlag,Paperback,657,1986,1980,,2021/08/29,,,read,,,,1,0
1696152,Das Schlangenschwert,Sergei Lukyanenko,"Lukyanenko, Sergei",,"=""340780993X""","=""9783407809933""",3,3.85,Beltz & Gelberg,Hardcover,640,2007,2001,,2021/08/29,,,read,,,,1,0
31815623,Souverän investieren mit Indexfonds und ETFs. Wie Privatanleger das Spiel gegen die Finanzbranche gewinnen,Gerd Kommer,"Kommer, Gerd",,"=""""","=""""",4,4.52,Campus Verlag,Paperback,371,2015,2007,,2021/08/29,,,read,,,,1,0
51230251,Männlichkeit Leben,Björn Thorsten Leimbach,"Leimbach, Björn Thorsten",,"=""3831902852""","=""9783831902859""",3,4.00,Ellert & Richter Verlag G,Perfect Paperback,0,2007,,,2021/08/29,,,read,,,,1,0
25333755,"Vom Inder, der mit dem Fahrrad bis nach Schweden fuhr, um dort seine große Liebe wiederzufinden. Eine wahre Geschichte",Per J. Andersson,"Andersson, Per J.",,"=""3462047477""","=""9783462047479""",4,3.78,KiWi-Paperback,Paperback,336,2015,2013,,2021/08/29,,,read,,,,1,0
58743180,The Circle,Dave Eggers,"Eggers, Dave",,"=""0385351399""","=""9780385351393""",4,3.43,Alfred A. Knopf - McSweeny's Books,Hardcover,491,2013,2013,,2021/08/29,,,read,,,,1,0
35818972,Die goldene Stadt,Sabrina Janesch,"Janesch, Sabrina",,"=""3871348384""","=""9783871348389""",3,3.87,Rowohlt Berlin,Hardcover,528,2017,,,2021/08/29,,,read,,,,1,0
1016999,Hannibal. Der Roman Karthagos.,Gisbert Haefs,"Haefs, Gisbert",,"=""3453061322""","=""9783453061323""",4,4.03,Heyne,Paperback,747,1993,1989,,2021/08/29,,,read,,,,1,0
32071652,"Sturm aus dem Süden (Die Blausteinkriege, #2)",T.S. Orgel,"Orgel, T.S.",,"=""3453317068""","=""9783453317062""",4,3.88,Heyne,Paperback,640,2016,2016,,2021/08/29,,,read,,,,1,0
36367910,"Der verborgene Turm (Die Blausteinkriege, #3)",T.S. Orgel,"Orgel, T.S.",,"=""3453317076""","=""9783453317079""",4,3.84,Heyne,Paperback,640,2017,2017,,2021/08/29,,,read,,,,1,0
32065602,"Die drei Sonnen (Trisolaris, #1)",Liu Cixin,"Cixin, Liu",Martina Hasse,"=""3453317165""","=""9783453317161""",2,4.08,"Wilhelm Heyne Verlag, München",Paperback,592,2016,2006,,2021/08/29,,,read,,,,1,0
15722654,The Art of War,Sun Tzu,"Tzu, Sun",,"=""143513673X""","=""9781435136731""",4,3.95,Fall River Press,Hardcover,249,2011,-500,,2021/08/29,,,read,,,,1,0
834717,"When the Eagle Hunts (Eagle, #3)",Simon Scarrow,"Scarrow, Simon",,"=""0312305354""","=""9780312305352""",5,4.24,Thomas Dunne Books,Hardcover,272,2004,2002,,2021/08/29,,,read,,,,1,0
601301,"The Eagle's Prophecy (Eagles of the Empire, #6)",Simon Scarrow,"Scarrow, Simon",,"=""0755301188""","=""9780755301188""",5,4.27,Headline,Paperback,501,2006,2005,,2021/08/29,,,read,,,,1,0
12041843,"Die Legion (Eagle, #10)",Simon Scarrow,"Scarrow, Simon",,"=""3453436202""","=""9783453436206""",5,4.28,Heyne Verlag,Paperback,528,2012,2009,,2021/08/29,,,read,,,,1,0
4069,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Harold S. Kushner, William J. Winslade, Isle Lasch","=""080701429X""","=""9780807014295""",0,4.37,Beacon Press,Paperback,165,2006,1946,,2021/08/29,to-read,to-read (#9),to-read,,,,0,0
106835,The Intelligent Investor,Benjamin Graham,"Graham, Benjamin","Jason Zweig, Warren Buffett","=""0060555661""","=""9780060555665""",4,4.24,Harper Business,Paperback,623,2006,1949,,2021/08/29,,,read,,,,1,0
40672036,Digital Minimalism: Choosing a Focused Life in a Noisy World,Cal Newport,"Newport, Cal",,"=""052553654X""","=""""",0,4.05,Portfolio,Kindle Edition,302,2019,2019,,2021/08/29,to-read,to-read (#8),to-read,,,,0,0
69571,"Rich Dad, Poor Dad",Robert T. Kiyosaki,"Kiyosaki, Robert T.",,"=""0751532711""","=""9780751532715""",5,4.10,Time Warner Books UK,Paperback,195,2001,1997,,2021/08/29,,,read,,,,1,0
36072,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,"Covey, Stephen R.",Jim Collins,"=""0743269519""","=""9780743269513""",0,4.16,Free Press,Paperback,372,2004,1989,,2021/08/29,to-read,to-read (#7),to-read,,,,0,0
368593,The 4-Hour Workweek,Timothy Ferriss,"Ferriss, Timothy",,"=""0307353133""","=""9780307353139""",3,3.91,Harmony,ebook,308,2007,2007,,2021/08/29,,,read,,,,1,0
6480781,Open,Andre Agassi,"Agassi, Andre","J.R. Moehringer, Андре Агаси","=""0307268195""","=""9780307268198""",5,4.32,Knopf,Hardcover,388,2009,2009,,2021/08/29,,,read,,,,1,0
6289283,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,"McDougall, Christopher",,"=""""","=""""",0,4.30,Knopf,Hardcover,287,2009,2009,,2021/08/29,to-read,to-read (#6),to-read,,,,0,0
23316,Round Ireland with a Fridge,Tony Hawks,"Hawks, Tony",,"=""0312274920""","=""9780312274924""",4,3.81,Thomas Dunne Books,Paperback,248,2001,1997,,2021/08/29,,,read,,,,1,0
11125,Digital Fortress,Dan    Brown,"Brown, Dan",,"=""""","=""""",4,3.70,Corgi books,Paperback,510,2004,1998,,2021/08/29,,,read,,,,1,0
2429135,"The Girl With the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,"=""0670069019""","=""9780670069019""",5,4.18,Viking Canada,Hardcover,480,2008,2005,,2021/08/29,,,read,,,,1,0
960,"Angels & Demons (Robert Langdon, #1)",Dan    Brown,"Brown, Dan",,"=""1416524797""","=""9781416524793""",4,3.95,Pocket Books,Paperback,736,2006,2000,,2021/08/29,,,read,,,,1,0
19288043,Gone Girl,Gillian Flynn,"Flynn, Gillian",,"=""0307588378""","=""9780307588371""",5,4.15,Ballantine Books,Paperback,415,2014,2012,,2021/08/29,,,read,,,,1,0
22557272,The Girl on the Train,Paula Hawkins,"Hawkins, Paula",,"=""1594633665""","=""9781594633669""",5,3.96,Riverhead Books,Hardcover,336,2015,2015,,2021/08/29,,,read,,,,1,0
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,"=""""","=""""",0,4.32,Avery,Kindle Edition,319,2018,2018,,2021/08/29,to-read,to-read (#5),to-read,,,,0,0
39999,The Boy in the Striped Pajamas,John Boyne,"Boyne, John",,"=""0385751079""","=""9780385751070""",5,4.16,David Fickling Books,Hardcover,224,2006,2006,,2021/08/29,,,read,,,,1,0
49239093,"The Evening and the Morning (Kingsbridge, #0)",Ken Follett,"Follett, Ken",,"=""0525954988""","=""9780525954989""",0,4.39,Viking,Hardcover,913,2020,2020,,2021/08/29,to-read,to-read (#4),to-read,,,,0,0
55361205,A Promised Land,Barack Obama,"Obama, Barack",,"=""1524763187""","=""9781524763183""",0,4.32,Crown,Kindle Edition,768,2020,2020,,2021/08/29,to-read,to-read (#3),to-read,,,,0,0
25541028,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,"Vance, Ashlee",,"=""0062301233""","=""9780062301239""",5,4.13,Ecco,Hardcover,392,2015,2015,,2021/08/29,,,read,,,,1,0
48855,The Diary of a Young Girl,Anne Frank,"Frank, Anne","Otto H. Frank, Mirjam Pressler, Eleanor Roosevelt, Susan Massotty, Γιάννης Θωμόπουλος, Barbara Mooyaart-Doubleday","=""""","=""""",0,4.20,Bantam,Mass Market Paperback,283,1993,1947,,2021/08/29,to-read,to-read (#2),to-read,,,,0,0
11084145,Steve Jobs,Walter Isaacson,"Isaacson, Walter",,"=""1451648537""","=""9781451648539""",0,4.16,Simon & Schuster,Hardcover,630,2011,2011,,2021/08/29,to-read,to-read (#1),to-read,,,,0,0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",5,4.58,Scholastic Inc.,Mass Market Paperback,547,2004,1999,,2021/08/29,,,read,,,,1,0
113436,Eragon (The Inheritance Cycle #1),Christopher Paolini,"Paolini, Christopher",,"=""0375826696""","=""9780375826696""",4,3.96,Alfred A. Knopf,Paperback,503,2005,2002,,2021/08/29,,,read,,,,1,0
68428,"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""9780765311788""",5,4.49,Tor Books,Hardcover,541,2006,2006,,2021/08/29,,,read,,,,1,0
41865,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,"Meyer, Stephenie",,"=""0316015849""","=""9780316015844""",4,3.67,"Little, Brown and Company",Paperback,498,2006,2005,,2021/08/29,,,read,,,,1,0
8341706,"Die Herren von Winterfell (Das Lied von Eis und Feuer, #1)",George R.R. Martin,"Martin, George R.R.",Jörn Ingwersen,"=""""","=""""",5,4.27,Blanvalet,Paperback,545,2010,1996,,2021/08/29,,,read,,,,1,0
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",4,4.35,Scholastic Press,Hardcover,374,2008,2008,,2021/08/29,,,read,,,,1,0
3263607,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""""",1,4.40,Ballantine Books,Mass Market Paperback,527,1973,1954,,2021/08/29,,,read,,,,1,0
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,"=""0553588486""","=""9780553588484""",5,4.45,Bantam,Mass Market Paperback,835,2005,1996,,2021/08/29,,,read,,,,1,0
5907,"The Hobbit, or There and Back Again",J.R.R. Tolkien,"Tolkien, J.R.R.","Douglas A. Anderson, Michael Hague, Jemima Catlin","=""""","=""""",1,4.30,Houghton Mifflin,Paperback,366,2002,1937,,2021/08/29,,,read,,,,1,0
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""0439554934""","=""9780439554930""",5,4.47,Scholastic Inc,Hardcover,309,2003,1997,,2021/08/29,,,read,,,,1,0
